Date,Open,High,Low,Close,Adj Close,Volume
03/01/2000,112.4375,116,111.875,116,73.656433,10347700
04/01/2000,114,114.5,110.875,112.0625,71.156227,8227800
05/01/2000,112.9375,119.75,112.125,116,73.656433,12733200
06/01/2000,118,118.9375,113.5,114,72.386459,7971900
07/01/2000,117.25,117.9375,110.625,113.5,72.069008,11856700
10/01/2000,117.25,119.375,115.375,118,74.926331,8540500
11/01/2000,117.875,121.125,116.625,119,75.56134,7873300
12/01/2000,119.625,122,118.25,119.5,75.878815,6803800
13/01/2000,119.9375,121,115.75,118.25,75.085129,8489700
14/01/2000,120.9375,123.3125,117.5,119.625,75.958183,10956600
18/01/2000,119.6875,119.75,115,115.75,73.497673,7643900
19/01/2000,115.5625,122,112.6875,119.5,75.878815,8634500
20/01/2000,123,124.75,119,119,75.56134,17783400
21/01/2000,121.875,123,119.9375,121.5,77.148758,7868700
24/01/2000,121.875,122.875,116.5625,121.5,77.148758,6499200
25/01/2000,116.75,119.5,116,119.125,75.640709,6936900
26/01/2000,119.0625,119.9375,116,116.75,74.132637,4895100
27/01/2000,118,118.4375,111.625,113.5,72.069008,8324600
28/01/2000,112.75,114.1875,110.0625,111.5625,70.838737,6669400
31/01/2000,111.375,112.8125,109.625,112.25,71.275269,6202700
01/02/2000,112.375,113.4375,109.125,110,69.846603,7304700
02/02/2000,112,115.8125,110.375,113.5,72.069008,7707700
03/02/2000,115,117.5,114.0625,117.125,74.37075,6213800
04/02/2000,118.1875,118.4375,114.8125,115.625,73.418312,5405300
07/02/2000,116,116.875,113.125,114.125,72.465858,5779500
08/02/2000,116.9375,119,116.1875,118.8125,75.521637,5464300
09/02/2000,119,119.75,117,117.375,74.607971,5374700
10/02/2000,117.6875,119.125,116.875,119.125,75.720329,4446600
11/02/2000,119.0625,119.4375,114.5625,115.375,73.33667,5749400
14/02/2000,116,116.375,114.5,116.0625,73.773674,4544000
15/02/2000,115.875,117.4375,113.875,117.125,74.449036,5177500
16/02/2000,116.5,117.3125,115.25,115.75,73.575043,3966900
17/02/2000,116.5,118.875,115.75,116.75,74.210686,5237500
18/02/2000,115.25,115.9375,111.5,112.5,71.509232,7673400
